date,label,risk_multiplier,rain_anom_30d,dry_frac_30d
2018-01-02,calm_bull,0.9,-1.434,0.7667
2018-01-03,calm_bull,1.0,-1.438,0.8
2018-01-04,calm_bull,1.0,-1.4301,0.8
2018-01-05,calm_bull,1.0,-1.4197,0.8
2018-01-08,calm_bull,1.0,-1.3994,0.8
2018-01-09,calm_bull,1.0,-1.3852,0.7667
2018-01-10,calm_bull,1.0,-1.3796,0.7667
2018-01-11,calm_bull,1.0,-1.3741,0.7667
2018-01-12,calm_bull,1.0,-1.3686,0.7667
2018-01-16,calm_bull,1.0,-1.3476,0.7667
2018-01-17,calm_bull,0.9,-1.3765,0.8
2018-01-18,calm_bull,0.9,-1.3485,0.8
2018-01-19,calm_bull,0.9,-1.3469,0.8
2018-01-22,calm_bull,0.9,-1.3457,0.8
2018-01-23,calm_bull,0.9,-1.349,0.8333
2018-01-24,calm_bull,0.9,-1.3689,0.8333
2018-01-25,calm_bull,0.9,-1.3797,0.8667
2018-01-26,calm_bull,0.9,-1.3765,0.8667
2018-01-29,calm_bull,0.9,-1.3645,0.8667
2018-01-30,calm_bull,0.9,-1.361,0.8667
2018-01-31,calm_bull,0.9,-1.3593,0.8667
2018-02-01,calm_bull,0.9,-1.356,0.8667
2018-02-02,calm_bull,0.9,-1.3522,0.8667
2018-02-05,calm_bull,0.9,-1.3471,0.8667
2018-02-06,calm_bull,0.9,-1.3443,0.8667
2018-02-07,calm_bull,0.9,-1.3398,0.8667
2018-02-08,calm_bull,0.9,-1.3435,0.9
2018-02-09,calm_bull,0.9,-1.339,0.9
2018-02-12,calm_bull,0.9,-1.3259,0.9
2018-02-13,calm_bull,0.9,-1.3229,0.9
2018-02-14,calm_bull,0.9,-1.3207,0.9
2018-02-15,calm_bull,0.9,-1.3194,0.9
2018-02-16,calm_bull,0.9,-1.3182,0.9
2018-02-20,calm_bull,0.9,-1.3482,0.9667
2018-02-21,calm_bull,0.9,-1.3491,0.9667
2018-02-22,calm_bull,0.9,-1.3481,0.9667
2018-02-23,calm_bull,0.9,-1.3519,1.0
2018-02-26,calm_bull,0.9,-1.3528,1.0
2018-02-27,calm_bull,0.9,-1.351,1.0
2018-02-28,calm_bull,0.9,-1.3468,1.0
2018-03-01,calm_bull,0.9,-1.3433,1.0
2018-03-02,calm_bull,0.9,-1.336,1.0
2018-03-05,calm_bull,0.9,-1.332,1.0
2018-03-06,calm_bull,0.9,-1.3309,1.0
2018-03-07,calm_bull,0.9,-1.3307,1.0
2018-03-08,calm_bull,0.9,-1.3305,1.0
2018-03-09,calm_bull,0.9,-1.3295,1.0
2018-03-12,calm_bull,0.9,-1.3289,1.0
2018-03-13,calm_bull,0.9,-1.3287,1.0
2018-03-14,calm_bull,0.9,-1.2948,0.9667
2018-03-15,calm_bull,0.9,-1.24,0.9333
2018-03-16,calm_bull,0.9,-1.2325,0.9
2018-03-19,calm_bull,0.9,-1.2254,0.9
2018-03-20,calm_bull,0.9,-1.1549,0.8667
2018-03-21,calm_bull,0.9,-1.1508,0.8667
2018-03-22,calm_bull,0.9,-1.1514,0.8667
2018-03-23,calm_bull,0.9,-1.152,0.8667
2018-03-26,calm_bull,0.9,-1.1591,0.8667
2018-03-27,calm_bull,0.9,-1.1598,0.8667
2018-03-28,calm_bull,0.9,-1.1605,0.8667
2018-03-29,calm_bull,0.9,-1.1613,0.8667
2018-04-02,calm_bull,0.9,-1.1694,0.8667
2018-04-03,calm_bull,0.9,-1.1674,0.8667
2018-04-04,calm_bull,0.9,-1.1652,0.8667
